gen	evals	best_params                                                         	Fitness                  	avg      	std     	min        	max      
18 	5    	[3.988615292354097e-08, 1.7735941815010773e-08, 0.11622490264331456] 	(2.1116818659189832e-05,)	0.000507992	0.000295102	2.11168e-05	0.000808369
19 	5    	[3.479987900657282e-08, 2.126746372192835e-08, 0.12891648881355544]  	(5.915323182834173e-06,) 	0.00022473 	0.000190745	5.91532e-06	0.000576352
20 	5    	[2.9713605089604674e-08, 2.479898562884593e-08, 0.14160807498379632] 	(5.436161333680196e-06,) 	0.000203427	0.000368349	5.43616e-06	0.000939774
21 	5    	[2.9713605089604674e-08, 2.479898562884593e-08, 0.14160807498379632] 	(5.436161333680196e-06,) 	0.000614671	0.000873281	1.34634e-05	0.00234749 
22 	5    	[2.9713605089604674e-08, 2.479898562884593e-08, 0.14160807498379632] 	(5.436161333680196e-06,) 	0.000669672	0.000514609	2.51668e-05	0.00150788 
23 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000474973	0.000560016	2.62693e-06	0.00150471 
24 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000123215	0.000138811	1.30839e-05	0.000382968
25 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000124583	9.78453e-05	1.14282e-05	0.000291415
26 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000309668	0.000233607	2.04238e-05	0.000606894
27 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000263191	0.000218784	5.388e-06  	0.000536365
28 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000125193	0.00017248 	3.14488e-05	0.000470006
29 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000126334	7.71848e-05	5.65627e-05	0.000268887
30 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000157461	0.00011818 	1.95744e-05	0.000319476
31 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.000153409	0.000143429	1.55584e-05	0.000413119
32 	5    	[3.120229297933797e-08, 2.699012029152007e-08, 0.13981174046847647]  	(2.6269342313176814e-06,)	0.0001866  	0.000222576	5.77646e-06	0.000614968
33 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000209651	0.000166281	2.58596e-06	0.000482326
34 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000203705	0.000169938	7.81789e-05	0.000534152
35 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.00014308 	0.000180732	2.64974e-05	0.000503344
36 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000111527	0.00010157 	2.73162e-06	0.000286025
37 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.00018252 	0.000197419	4.94291e-05	0.000571102
38 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000402712	0.000485259	7.67853e-05	0.00136452 
39 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000284131	0.000327565	2.46434e-05	0.000915247
40 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	5.22045e-05	4.09328e-05	5.41024e-06	0.000122219
41 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000335447	0.000452174	6.24912e-05	0.00123391 
42 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000454491	0.000328133	0.000112035	0.000876979
43 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000469911	0.000618315	1.68348e-05	0.00169385 
44 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000122439	0.000128723	9.10602e-06	0.000344985
45 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	6.90538e-05	7.62318e-05	2.58725e-06	0.000210423
46 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000120026	4.4354e-05 	4.78513e-05	0.000174717
47 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000290826	0.000389617	4.12603e-05	0.00106172 
48 	5    	[3.1355173160283764e-08, 2.9077110114900623e-08, 0.13804058183496248]	(2.585955264577792e-06,) 	0.000115598	9.78748e-05	2.56815e-05	0.000289435
49 	5    	[3.059356924172309e-08, 2.323093819823717e-08, 0.14195567869973869]  	(2.371139365822613e-06,) 	0.000228966	0.000213203	2.37114e-06	0.000562197
50 	5    	[3.059356924172309e-08, 2.323093819823717e-08, 0.14195567869973869]  	(2.371139365822613e-06,) 	0.000269778	0.000257933	3.95481e-05	0.000657842
51 	5    	[3.059356924172309e-08, 2.323093819823717e-08, 0.14195567869973869]  	(2.371139365822613e-06,) 	0.000149784	0.000177932	1.76231e-05	0.000487676
52 	5    	[3.059356924172309e-08, 2.323093819823717e-08, 0.14195567869973869]  	(2.371139365822613e-06,) 	0.00020661 	0.000167318	1.44693e-05	0.000461257
53 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000356435	0.000222295	2.10366e-06	0.00062633 
54 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000295254	0.000210679	2.22731e-05	0.000627077
55 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000133166	0.000202406	1.07374e-05	0.000534948
56 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.00012119 	8.91912e-05	6.70095e-06	0.000277439
57 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000294479	0.000428004	5.76955e-06	0.00113901 
58 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000499534	0.000689048	1.71996e-05	0.00180069 
59 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000240327	0.000303401	4.5965e-05 	0.000843889
60 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000294362	0.000234441	2.8758e-05 	0.000670882
61 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000478396	0.00057353 	7.7266e-06 	0.00132325 
62 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000354102	0.000395482	7.42429e-06	0.00107371 
63 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000207566	0.000186672	1.82163e-05	0.000527373
64 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000456533	0.000444641	1.37602e-05	0.00117732 
65 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000463723	0.000481027	2.6674e-06 	0.00125717 
66 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000274939	0.000188325	1.97565e-05	0.00053652 
67 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000139645	0.00020609 	6.65415e-06	0.00054825 
68 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.000324859	0.000291377	5.45243e-05	0.000867632
69 	5    	[3.059337237889891e-08, 2.4796268501753157e-08, 0.13881632395626603] 	(2.103662032219504e-06,) 	0.0005613  	0.000529686	6.77073e-05	0.00155013 
70 	5    	[3.0593180609548665e-08, 2.73282721174398e-08, 0.1395941450909582]   	(1.8536933460515662e-06,)	0.000284648	0.000270984	1.85369e-06	0.000769053
71 	5    	[3.0593180609548665e-08, 2.73282721174398e-08, 0.1395941450909582]   	(1.8536933460515662e-06,)	4.2065e-05 	3.09611e-05	7.50525e-06	9.95171e-05
72 	5    	[3.0593180609548665e-08, 2.73282721174398e-08, 0.1395941450909582]   	(1.8536933460515662e-06,)	0.000287596	0.000171176	8.96937e-05	0.000571012
73 	5    	[3.0593180609548665e-08, 2.73282721174398e-08, 0.1395941450909582]   	(1.8536933460515662e-06,)	0.000449216	0.000223623	0.000129844	0.000827579
74 	5    	[3.0593180609548665e-08, 2.73282721174398e-08, 0.1395941450909582]   	(1.8536933460515662e-06,)	0.000258212	0.000128532	7.31646e-05	0.000418019
75 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	1.65456e-05	1.6858e-05 	8.50446e-07	4.78946e-05
76 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000286546	0.000277983	4.54884e-05	0.000822517
77 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.0010196  	0.000870693	0.00016334 	0.00224935 
78 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000442419	0.000200883	0.00015658 	0.000681038
79 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000127242	0.00018854 	2.2953e-05 	0.000503755
