"[5.842937630072671e-09, 5.499070033151089e-07, 0.15657050100947426]","[5.687643805654544e-09, 2.514381113581014e-10, 0.07107310254708571]","[6.055759261539668e-06, 1.5250784715703464e-06, 0.1360214430918976]","[1.0338703153564798e-07, 8.073225708812578e-09, 0.04457164448701161]","[1.512779671313914e-08, 1.661426241396711e-08, 0.06587140367010337]","[4.801509134975535e-06, 9.062144037960342e-09, 0.03803934383782849]","[2.1382996278230957e-06, 4.340853784007021e-07, 0.09148491241001994]","[1.138299627823096e-06, 4.340853784007021e-06, 0.11148491241001993]","[2.1382996278230957e-09, 4.340853784007021e-07, 0.09148491241001994]","[2.9101725365516555e-09, 6.423270571525924e-09, 0.10120939177334996]"
"[5.568051709476944e-08, 5.530332851410838e-07, 0.16655096117437182]","[2.4497121354774433e-08, 4.0685823753173866e-08, 0.07313819921659365]","[5.225414613457985e-06, 8.511966078420128e-07, 0.12374351070507492]","[1.4582966816083852e-07, 3.809033868740099e-08, 0.05603131149717109]","[6.512779671313914e-08, 5.2168221523884665e-08, 0.08398418726017141]","[4.695104092519302e-06, 1.9500687114605728e-08, 0.04084791106367038]","[1.570203444521459e-06, 2.865749547113403e-07, 0.10591392238418403]","[9.209519320865999e-07, 3.682532163201093e-06, 0.08490167231694884]","[3.371195346902446e-08, 3.534973093432555e-07, 0.07914755590414112]","[5.2910172536551654e-08, 5.2167858625836615e-08, 0.08985734651247819]"
"[1.0568051709476943e-07, 4.603484852126728e-07, 0.15220175434099875]","[6.078194729492749e-08, 8.07189348641208e-08, 0.07400813538072883]","[2.430732698371845e-06, 1.908421652839713e-08, 0.08097089452569656]","[1.8827230478602905e-07, 6.81074516659894e-08, 0.06749097850733057]","[1.1512779671313914e-07, 8.541588433393557e-08, 0.09734173507952211]","[3.20481723234686e-06, 3.242319886854471e-08, 0.05069719019695196]","[6.474697570929956e-07, 1.4110176890254944e-07, 0.09296312416177588]","[6.552036226612138e-07, 2.0477789617335563e-06, 0.055257541312130336]","[8.371195346902446e-08, 2.3804597314028853e-07, 0.06609362276207031]","[1.0291017253655165e-07, 9.206070382084536e-08, 0.0756156035348244]"
"[1.43179468751785e-07, 2.477197467705556e-07, 0.1008863066334987]","[1.1078194729492749e-07, 1.0803467393760972e-07, 0.07356897867871438]","[2.430232698371845e-06, 1.8584216528397128e-08, 0.02692684699917392]","[2.25742176431753e-07, 7.832923428871972e-08, 0.07415377470004514]","[1.437281674622111e-07, 9.423356475819071e-08, 0.09875562838498808]","[1.833351838521995e-06, 3.5396101390727276e-08, 0.06055603136171264]","[6.469697570929955e-07, 1.4060176890254943e-07, 0.07707778794200407]","[2.0968146681532795e-07, 8.881222683397084e-08, 0.025955244153449707]","[1.3371195346902447e-07, 9.509195803351915e-08, 0.04888482200740198]","[1.5291017253655164e-07, 1.2054594831743888e-07, 0.053515500870769506]"
"[1.8211049541040684e-07, 3.419093621461779e-09, 0.03960771640207224]","[1.6078194729492749e-07, 1.378211270480169e-07, 0.06810708034650303]","[1.5927283800652226e-06, 2.479263652584064e-08, 0.02592684699917392]","[2.1949390540508678e-07, 8.665287899022429e-08, 0.0658460935217206]","[1.4759111633559677e-07, 1.0101388864592735e-07, 0.08871324737506851]","[6.121942025820054e-07, 3.6327498809092394e-08, 0.06984156986419657]","[5.696717487514188e-07, 1.362559123039908e-07, 0.05381413781382201]","[2.0918146681532794e-07, 8.831222683397084e-08, 0.013799170704058044]","[1.8371195346902447e-07, 9.459195803351916e-08, 0.03321102481412664]","[2.0291017253655164e-07, 1.490311928140324e-07, 0.031415398206714615]"
"[2.1592031844247048e-07, 2.919093621461779e-09, 0.03860771640207224]","[2.0757452589132467e-07, 1.6371087853876723e-07, 0.05687511387646153]","[3.738394406496491e-07, 4.889504391846115e-08, 0.029222474401613928]","[1.714566514409229e-07, 1.0243689880478467e-07, 0.053758625623257006]","[1.2791146712762157e-07, 9.190009892283478e-08, 0.060412497910693905]","[6.116942025820054e-07, 7.169983409718555e-08, 0.07142755926669749]","[2.8924003871308686e-07, 1.2527939223015962e-07, 0.030425970969029055]","[2.2979014930198898e-07, 1.3831222683397085e-07, 0.0285639990488093]","[2.2538676494724247e-07, 9.955397317566197e-08, 0.02464298588756666]","[2.3034247577009617e-07, 1.5468202379551012e-07, 0.02232422070370982]"
"[2.4850188490178774e-07, 4.246337758110803e-08, 0.04144975965314461]","[2.543671044877219e-07, 1.8960063002951755e-07, 0.04564314740642003]","[3.7333944064964914e-07, 7.828603064819834e-08, 0.043933765786429754]","[1.3967936790959212e-07, 1.21889108726425e-07, 0.04311576141444677]","[1.4449287085348003e-07, 8.410256480484658e-08, 0.031494714900754506]","[5.8895061525065e-07, 1.0143031869958097e-07, 0.07209063363719642]","[3.614758441835464e-08, 1.2288179687733333e-07, 0.023992762376471577]","[2.7979014930198895e-07, 1.8831222683397085e-07, 0.0485639990488093]","[2.3382730192595185e-07, 1.0449721842542843e-07, 0.030762662345791992]","[2.404814568507787e-07, 1.4518418275699118e-07, 0.0404350394547059]"
"[2.9850188490178774e-07, 9.035796385120156e-08, 0.04466445153076367]","[3.043671044877219e-07, 1.7694761930511747e-07, 0.038916451202188417]","[3.7283944064964915e-07, 1.0767701737793551e-07, 0.05864505717124558]","[1.2126707004409607e-07, 1.328586496359085e-07, 0.0359884191601497]","[1.9449287085348003e-07, 7.841640047839872e-08, 0.012252160761961384]","[5.128404344409275e-07, 1.1196466281306481e-07, 0.0647761130086444]","[8.614758441835464e-08, 1.1937350887540962e-07, 0.023171334282808626]","[3.2979014930198895e-07, 2.360046745751806e-07, 0.06745554310683727]","[2.7085142139718083e-07, 1.0273030154211972e-07, 0.050019177166092596]","[2.675435524628654e-07, 1.3022641881171585e-07, 0.060435039454705894]"
"[3.4850188490178773e-07, 1.3253195394049316e-07, 0.04776719841138045]","[3.294856914547226e-07, 1.1851452052334038e-07, 0.03739451631356605]","[3.725696521721865e-07, 1.2460850133290324e-07, 0.06377264390231062]","[1.7126707004409607e-07, 1.2992624450436882e-07, 0.03239317464200176]","[2.4449287085348006e-07, 7.50125818308021e-08, 0.01729345497797795]","[3.728789022762365e-07, 1.0608579862441851e-07, 0.04976610201291698]","[1.3614758441835464e-07, 1.0978805623836814e-07, 0.02994128964371153]","[3.788551166521435e-07, 2.263807553720829e-07, 0.0802211609419256]","[3.2085142139718083e-07, 1.00411868463975e-07, 0.06789163244300676]","[3.0338301453187447e-07, 9.294123385185981e-08, 0.07609115809105264]"
"[3.942263541064015e-07, 1.559401607456591e-07, 0.04952987768493754]","[3.391985457237987e-07, 4.82927394562742e-08, 0.04608251121510201]","[3.7255333321709905e-07, 1.362857253689232e-07, 0.05776838535412445]","[2.2126707004409607e-07, 1.1651601766495954e-07, 0.03780393810877046]","[2.9449287085348005e-07, 8.068472525044754e-08, 0.03729345497797795]","[2.3304808023979755e-07, 8.784852686057177e-08, 0.03310474200021621]","[1.8614758441835464e-07, 9.990545492616163e-08, 0.040792923779288906]","[4.148848249004556e-07, 2.0956673272238701e-07, 0.07316486415461076]","[3.708514213971808e-07, 9.443751646367742e-08, 0.06775364118588463]","[3.334353469630582e-07, 5.948872835793302e-08, 0.08230606570659815]"
