"[2.462915000344065e-08, 1.2233329960425068e-08, 0.26305650621423565]","[2.5398016868475947e-06, 5.000943575620808e-08, 0.0377476356838063]","[6.055759261539668e-06, 1.5250784715703464e-06, 0.1360214430918976]","[1.0338703153564798e-07, 8.073225708812578e-09, 0.2445716444870116]","[1.512779671313914e-08, 1.661426241396711e-07, 0.16587140367010336]","[4.801509134975535e-06, 9.062144037960342e-07, 0.2580393438378285]","[3.1382996278230956e-08, 1.3408537840070215e-08, 0.17148491241001992]","[1.1382996278230959e-07, 4.3408537840070215e-09, 0.0148491241001993]","[4.096849235215503e-09, 3.272328574710641e-07, 0.16149473125255923]","[7.267606339193968e-08, 8.05158113215661e-09, 0.2245716444870116]","[5.842937630072671e-06, 5.499070033151089e-07, 0.20657050100947427]","[5.687643805654544e-06, 2.514381113581014e-08, 0.02107310254708571]","[7.055759261539668e-06, 1.5250784715703464e-06, 0.1360214430918976]","[1.0338703153564798e-07, 2.073225708812578e-09, 0.2445716444870116]","[1.512779671313914e-06, 1.661426241396711e-09, 0.12658714036701033]","[4.801509134975535e-09, 9.062144037960342e-06, 0.2380393438378285]","[2.1382996278230957e-09, 4.3408537840070215e-09, 0.24148491241001993]","[1.138299627823096e-06, 4.340853784007021e-06, 0.11148491241001993]","[4.096849235215503e-09, 1.272328574710641e-06, 0.12149473125255923]","[1.8394478959861553e-08, 1.970854603160159e-08, 0.2049072031021171]"
"[4.974667977825768e-07, 2.659240797758599e-07, 0.2709070598354607]","[1.5164590735909703e-06, 2.0642818596687663e-07, 0.057747635683806295]","[5.2624381065523355e-06, 1.1825755806934437e-06, 0.15602144309189758]","[4.234523843530591e-07, 1.8103798193246487e-07, 0.2323536239925742]","[8.427703972719032e-08, 2.2646028042632803e-07, 0.17631101513870032]","[4.080462398018742e-06, 1.028477044475618e-06, 0.23929846560571835]","[4.428125498736338e-07, 3.666858069524315e-07, 0.186950148956051]","[3.022077230631115e-07, 1.3265339975789576e-07, 0.0348491241001993]","[7.959485231347509e-08, 6.380894996414165e-07, 0.18149473125255922]","[4.776267124511936e-07, 4.815481972019563e-07, 0.23063488044403369]","[4.422262949485502e-06, 3.91928671635349e-07, 0.22231535097409572]","[3.5352112560884275e-06, 3.8054433112787236e-07, 0.04107310254708571]","[4.870775573577668e-06, 1.6597232830116533e-06, 0.15602144309189758]","[2.007105551787877e-07, 1.271442870300219e-07, 0.23327986432941442]","[1.2730883688118617e-06, 3.90108738800143e-07, 0.14658714036701032]","[2.857718300530982e-07, 7.167806397368792e-06, 0.2482635229911797]","[1.305651466104857e-07, 3.112141148614171e-08, 0.22707909517719155]","[1.3906067513636131e-06, 2.492922829196564e-06, 0.13148491241001992]","[1.0775961759783328e-08, 1.1269435436729866e-06, 0.14149473125255924]","[1.7563594647775765e-07, 4.093310020807308e-07, 0.21624805571134398]"
"[7.125936384645897e-07, 3.9674447115180843e-07, 0.24578334594124082]","[1.5164540735909704e-06, 3.0041154475212557e-07, 0.0777476356838063]","[3.1090843977221477e-06, 7.551024411686272e-07, 0.17602144309189757]","[5.762106876235483e-07, 3.151507599210664e-07, 0.21306757675655497]","[1.468001938544298e-07, 2.3048438626348004e-07, 0.19278671451224463]","[2.742375806533843e-06, 1.1364867777512598e-06, 0.20557340598961582]","[6.668368794613451e-07, 5.754459855946571e-07, 0.20579571099985922]","[3.931419906618415e-07, 2.2973741533515607e-07, 0.054849124100199306]","[1.0354292993959493e-07, 5.556045202612113e-07, 0.2014947312525592]","[7.925519206261294e-07, 7.501180571919169e-07, 0.22347351305735436]","[1.1118917826137418e-06, 1.986975916834191e-07, 0.23162535686987867]","[7.840024208665413e-07, 5.84332440375898e-07, 0.061073102547085714]","[1.7491758435043961e-06, 1.3478854581000234e-06, 0.17205338450626953]","[2.3848230967970933e-07, 1.4635430852702286e-07, 0.22069672102540328]","[6.016679636798075e-07, 5.857385672635682e-07, 0.1586356521481637]","[4.785215758231406e-07, 3.0884870978695702e-06, 0.2550642446719539]","[2.3625102285711917e-07, 4.508577723321862e-08, 0.21890233765172235]","[1.2858398413923783e-06, 4.78908400968991e-07, 0.1514849124100199]","[1.8765662560386564e-08, 7.293933834871256e-07, 0.16149473125255923]","[2.434808859318001e-07, 6.664590527871043e-07, 0.22072154419642323]"
"[2.8318736062334943e-07, 3.216382265534155e-07, 0.21784758800483406]","[1.249786534013893e-06, 3.444843100015151e-07, 0.0977476356838063]","[7.844945852205568e-07, 9.044241344896899e-08, 0.19602144309189756]","[6.515511441146021e-07, 3.360672343821824e-07, 0.19815402860604753]","[1.2980063789422527e-07, 1.8136393020068735e-07, 0.20860093200251575]","[1.900439884979607e-07, 7.07164645366713e-07, 0.17160999000251412]","[7.16770348528837e-07, 5.080973041357288e-07, 0.21070976667707458]","[3.16617450441437e-07, 1.3402417298861747e-07, 0.07484912410019931]","[5.979069199425112e-08, 3.0216158011986693e-07, 0.207462704571093]","[6.91001205766304e-07, 6.833272881509333e-07, 0.21230082728314004]","[1.1118867826137419e-06, 1.986925916834191e-07, 0.23817017082387879]","[7.839974208665413e-07, 6.12920879879494e-07, 0.08107310254708572]","[1.7491708435043962e-06, 6.000309014601677e-07, 0.19205338450626952]","[1.477422156686815e-07, 1.1282807336746721e-07, 0.2124302147313916]","[6.016629636798075e-07, 6.017065910626724e-07, 0.17863565214816368]","[5.728579896570895e-07, 3.752241026644933e-07, 0.2538731683239756]","[2.7001776551584124e-07, 3.0531950572843905e-08, 0.21460810582470227]","[9.623226060310926e-07, 4.78903400968991e-07, 0.1714849124100199]","[2.6600527137518637e-08, 2.8546129012854777e-07, 0.18149473125255922]","[2.7776985084590837e-07, 6.986593523097911e-07, 0.21701484570006063]"
"[2.8318236062334945e-07, 2.299790305949466e-07, 0.19348596018209407]","[4.486355380060982e-07, 3.020198564184195e-07, 0.1177476356838063]","[7.844895852205568e-07, 9.043741344896899e-08, 0.21602144309189755]","[6.496106126363076e-07, 1.460870105546907e-07, 0.20049757705964363]","[8.563214940865664e-08, 1.0382547635089948e-07, 0.20950383597230643]","[1.900389884979607e-07, 2.1364421125287091e-07, 0.14304423371776842]","[5.848166936284453e-07, 2.0133527465704127e-07, 0.19483372274507207]","[8.128382741616233e-08, 1.3401917298861746e-07, 0.09484912410019931]","[5.978569199425112e-08, 3.0215658011986695e-07, 0.1917901959422385]","[4.213090021819311e-07, 1.6182629807560847e-07, 0.20383027066967488]","[7.209214929265547e-07, 1.5374936285216305e-07, 0.24249941587055807]","[4.7332557984374966e-07, 5.008244498071446e-07, 0.10063037266161648]","[1.356528938491645e-06, 6.000259014601677e-07, 0.2120533845062695]","[1.0778815092954624e-08, 6.901625868322939e-08, 0.20104558628774372]","[3.607643826810793e-07, 5.987216676540892e-07, 0.1977123241292929]","[3.657908265493639e-07, 3.7521910266449334e-07, 0.24299734335515374]","[1.718081209934352e-07, 5.086781655680023e-09, 0.2223214959077572]","[7.233577796209155e-07, 9.78903400968991e-07, 0.1780175612193347]","[3.368187024592636e-08, 2.854562901285478e-07, 0.2014947312525592]","[1.9994098704124842e-07, 3.285237976034094e-07, 0.20467834856028508]"
"[1.3032216497880965e-07, 6.853758389941947e-08, 0.17100591736722903]","[4.486305380060982e-07, 1.3360880911429123e-07, 0.1377476356838063]","[6.420326385547149e-07, 6.508051651358117e-08, 0.2306898469446681]","[3.9326251817054033e-07, 1.460820105546907e-07, 0.21536440389581246]","[5.121295222000845e-09, 4.381286019503924e-08, 0.19797637406748608]","[1.5180892905251815e-07, 2.136392112528709e-07, 0.12757199869559976]","[1.171196726760313e-07, 2.0133027465704127e-07, 0.17510292173125216]","[8.127882741616233e-08, 5.157214073427984e-08, 0.11484912410019932]","[3.0803708766174774e-08, 1.82873244678917e-07, 0.17650678468864403]","[1.861650720460867e-08, 1.6182129807560846e-07, 0.20220255834818782]","[1.4648156347065336e-07, 9.33908092620048e-08, 0.23951834974275768]","[1.6595534923721163e-07, 2.8204516619603694e-07, 0.12063037266161648]","[4.4997940663339935e-07, 4.0138145508164757e-07, 0.22890589205724007]","[1.0773815092954623e-08, 6.002997749847199e-09, 0.18986923721908058]","[5.282676432725456e-08, 5.69826299335614e-07, 0.2177123241292929]","[3.657858265493639e-07, 7.70228648888835e-07, 0.21567007779946876]","[1.6908230417391494e-08, 5.081781655680023e-09, 0.23617174860543744]","[4.3818282948846745e-07, 1.4789034009689909e-06, 0.17406656429108394]","[3.296515703213726e-08, 2.373514055215217e-07, 0.22014360981772324]","[1.4172050720479633e-08, 3.2851879760340945e-07, 0.19240508555477723]"
"[1.3031716497880965e-07, 6.853258389941947e-08, 0.16583481260911753]","[3.03473557618419e-07, 1.3360380911429122e-07, 0.15602186043296035]","[3.478614146585466e-07, 2.037230461449814e-08, 0.24233587732900064]","[1.7712254693335896e-08, 1.022468913659239e-07, 0.23397580283776703]","[5.116295222000845e-09, 4.380786019503924e-08, 0.18423190337956633]","[9.994799581104471e-08, 1.7196333674176712e-07, 0.14440870266107095]","[1.1711467267603129e-07, 4.79250337332632e-08, 0.16310584318922197]","[8.20442909964457e-08, 5.156714073427984e-08, 0.1259166252886928]","[3.0798708766174775e-08, 6.4546811379140846e-09, 0.16417671425661604]","[1.861150720460867e-08, 1.1806454652075341e-07, 0.2005827838205493]","[1.4647656347065335e-07, 2.5460022700756066e-08, 0.23003697561891354]","[1.6595034923721163e-07, 2.8204016619603696e-07, 0.1406303726616165]","[4.4997440663339937e-07, 1.2875949839471987e-07, 0.24566631500163788]","[1.4511419124726083e-08, 5.997997749847199e-09, 0.18122060628258715]","[5.282176432725456e-08, 2.789779588867108e-07, 0.2375432730127691]","[2.053281480864178e-07, 1.270228648888835e-06, 0.19712467101647996]","[1.6903230417391495e-08, 6.755586070848153e-09, 0.242801566801448]","[1.0257281860727027e-07, 1.4292402481756354e-06, 0.17169555182305044]","[2.7876159473312507e-08, 1.1543518059304183e-07, 0.23208083100920823]","[1.4167050720479632e-08, 1.387628869393243e-07, 0.18876245906605038]"
"[4.88595560428221e-08, 3.997329924210134e-08, 0.18583481260911752]","[1.0166436691573985e-07, 1.0961562769634612e-07, 0.17602186043296034]","[3.700040566897541e-08, 2.036730461449814e-08, 0.2378131265230974]","[1.7707254693335897e-08, 3.9663158109975204e-08, 0.24379164172302376]","[9.446308168351037e-09, 6.385274330896956e-08, 0.16952011360066288]","[3.240132035944004e-08, 1.162704849790554e-07, 0.16240080731752227]","[7.795644385393482e-08, 4.79200337332632e-08, 0.17378496566486087]","[5.4991181978029445e-08, 3.18610207423619e-08, 0.11137265400645863]","[2.7866667151433983e-08, 6.449681137914085e-09, 0.17060907086592564]","[1.8532319118439495e-08, 3.515063067526559e-08, 0.19973556755887156]","[1.1609790663863128e-07, 2.5455022700756067e-08, 0.21465639549620188]","[1.474265263770033e-07, 2.3075405342895695e-07, 0.16063037266161648]","[3.119528863587211e-07, 1.2875449839471986e-07, 0.24745347157013026]","[1.896221042227737e-08, 7.15169398264621e-09, 0.1819527635422167]","[4.0250692532447156e-08, 2.7897295888671083e-07, 0.24041544355028513]","[2.053231480864178e-07, 1.770228648888835e-06, 0.1904768405912283]","[1.691328296447822e-08, 1.2689319269321187e-08, 0.23596026698326308]","[1.0256781860727026e-07, 7.369589002899657e-07, 0.18297975271993155]","[2.0591646477971636e-08, 4.882277929285712e-09, 0.21549754162367787]","[1.5343864583905416e-08, 1.387578869393243e-07, 0.1941788266647662]"
"[4.88545560428221e-08, 1.0252508998703677e-08, 0.2058348126091175]","[1.0165936691573984e-07, 7.341481746529535e-08, 0.19602186043296033]","[3.699540566897541e-08, 2.0166714850833004e-08, 0.22224316246693743]","[1.785068294406304e-08, 3.9658158109975205e-08, 0.24100184254281745]","[1.4638790477051893e-08, 6.758540233299026e-08, 0.15892731567584167]","[3.239632035944004e-08, 4.0655674222897976e-08, 0.18240080731752226]","[1.1412869619072398e-09, 3.4560850568601054e-08, 0.18754203658833948]","[2.037518703984769e-08, 7.997747245303086e-09, 0.1310100160550558]","[2.6156007786716365e-08, 3.9573005432777215e-08, 0.19060907086592563]","[1.8447111158385237e-08, 3.514563067526559e-08, 0.20021218398582402]","[5.716768758413768e-08, 2.3345699155038915e-08, 0.19565200186084908]","[7.673293756759322e-08, 1.3260630732540895e-07, 0.18063037266161647]","[7.802019416508537e-08, 1.0959524502967942e-07, 0.23194434781946216]","[2.116632983227395e-08, 1.2769005193319708e-08, 0.19493380468845956]","[2.021900575958579e-08, 2.3529744621551382e-07, 0.2412665410774872]","[2.8254881037418556e-08, 2.0858854391857344e-06, 0.2046884147519229]","[1.697923707815794e-08, 1.9847471096590532e-08, 0.21640053825269445]","[9.795442142744911e-08, 7.369539002899657e-07, 0.19612206664883575]","[1.3272687200718954e-08, 1.6524945713755234e-08, 0.18498013472557576]","[1.8819064347831676e-08, 1.1276682352300093e-07, 0.2053330492247206]"
"[3.8807557594959304e-08, 1.0247508998703676e-08, 0.2258348126091175]","[7.356312150251235e-08, 2.8164882724621926e-08, 0.21248431435551698]","[3.042383749498817e-08, 1.9754796765255925e-08, 0.20589399289095464]","[1.8062605844124968e-08, 3.788918057642877e-08, 0.22138746089030165]","[1.8257344763150705e-08, 5.630322612198507e-08, 0.16171821112130114]","[3.0960760679456774e-08, 4.065067422289798e-08, 0.20240080731752225]","[1.1362869619072398e-09, 1.4893772121358905e-08, 0.20653131442644523]","[8.914998639189971e-10, 7.992747245303085e-09, 0.1510100160550558]","[2.2325024966258894e-08, 6.574041077961068e-08, 0.21060907086592562]","[1.8382260275854377e-08, 5.346755695158739e-08, 0.2007726401443918]","[5.716268758413768e-08, 2.0862589984468256e-08, 0.1783858245076164]","[7.672793756759321e-08, 1.3260130732540895e-07, 0.20063037266161646]","[7.801519416508536e-08, 7.301375905643698e-08, 0.21633148070019578]","[1.9378071509189002e-08, 2.0895202130469326e-08, 0.20919153532359328]","[2.0214005759585792e-08, 8.896363389424793e-08, 0.24163762856278825]","[2.8249881037418557e-08, 2.5858854391857343e-06, 0.2246884147519229]","[1.7646715674224744e-08, 2.6989677632988514e-08, 0.194186465045835]","[8.420834358725105e-08, 5.259956782779147e-07, 0.20352942007650293]","[1.1076040930549266e-08, 5.559942274056387e-08, 0.15597221242638515]","[2.2010424122963435e-08, 2.9595362730141114e-08, 0.21619329573762897]"
